Destination,State,Category,Best_Season,Average_Budget,Recommended_Trip_Duration,Nearest_Airport,Popularity,Family_Friendly,Adventure_Score,Season_Mar-Jun,Season_Nov-Feb,Season_Oct-Mar,Category_Adventure,Category_Backwaters,Category_Beach,Category_Bird Sanctuary,Category_Coastal,Category_Cultural,Category_Desert,Category_Heritage,Category_Hill Station,Category_Island,Category_Lake,Category_Mountain,Category_Nature,Category_Rainforest,Category_Rural,Category_Snow,Category_Spiritual,Category_Valley,Category_Waterfall,Category_Wildlife,Hotel_City,Airport_City,Flight_Available,Average_Hotel_Rating,Average_Hotel_Price,Minimum_Hotel_Price,Maximum_Hotel_Price,Number_of_Hotels,Average_Flight_Cost,Minimum_Flight_Cost,Maximum_Flight_Cost,Number_of_Routes,Hotel_Data_Available,Supporting_Data_Available
Goa,Goa,Beach,Nov-Feb,30000,4,Goa Airport,High,1,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goa,Goa,1,4.345833333333333,9575.5,1157.0,26550.0,24.0,3292.5925925925926,2200.0,4200.0,27.0,1,1
Ladakh (Leh),Ladakh,Mountain,Mar-Jun,35000,5,Ladakh Airport,High,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Ladakh,0,,,,,,,,,,0,0
Jaipur,Rajasthan,Heritage,Oct-Mar,22000,3,Jaipur Airport,High,1,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Jaipur,Jaipur,1,4.391304347826087,8092.913043478261,1039.0,34173.0,23.0,3105.5555555555557,2200.0,6400.0,36.0,1,1
Varanasi (Kashi),Uttar Pradesh,Spiritual,Oct-Mar,18000,2,Varanasi Airport,High,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Varanasi,Varanasi,1,4.086956521739131,3137.782608695652,725.0,7824.0,23.0,3013.6363636363635,2100.0,4700.0,22.0,1,1
Agra,Uttar Pradesh,Heritage,Oct-Mar,22000,3,Agra Airport,High,1,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,Agra,1,,,,,,3150.0,2400.0,3600.0,8.0,0,1
Udaipur,Rajasthan,Heritage,Oct-Mar,22000,3,Udaipur Airport,High,1,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,Udaipur,1,,,,,,2733.3333333333335,2200.0,3900.0,15.0,0,1
Kerala Backwaters (Alappuzha & Kumarakom),Kerala,Backwaters,Oct-Mar,25000,3,Kerala Backwaters Airport,High,1,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kumarakom,Kerala Backwaters,0,4.291304347826087,8048.130434782609,2849.0,30267.0,23.0,,,,,1,1
Coorg (Kodagu),Karnataka,Hill Station,Mar-Jun,35000,5,Coorg Airport,High,1,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Coorg,0,,,,,,,,,,0,0
Ziro Valley,Arunachal Pradesh,Valley,Mar-Jun,35000,5,Ziro Valley Airport,High,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Ziro Valley,0,,,,,,,,,,0,0
Mawlynnong & Nearby,Meghalaya,Nature,Oct-Mar,25000,3,Mawlynnong & nearby Airport,High,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,Mawlynnong & nearby,0,,,,,,,,,,0,0
Shimla,Himachal Pradesh,Hill Station,Mar-Jun,35000,5,Shimla Airport,High,1,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Shimla,1,,,,,,6375.0,6200.0,6600.0,4.0,0,1
Dharamshala & Mcleod Ganj,Himachal Pradesh,Hill Station,Mar-Jun,35000,5,Dharamshala & McLeod Ganj Airport,High,1,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Dharamshala & McLeod Ganj,0,,,,,,,,,,0,0
Manali,Himachal Pradesh,Hill Station,Mar-Jun,35000,5,Manali Airport,High,1,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Manali,0,,,,,,,,,,0,0
Tawang,Arunachal Pradesh,Mountain,Mar-Jun,35000,5,Tawang Airport,High,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Tawang,0,,,,,,,,,,0,0
Khajjiar,Himachal Pradesh,Hill Station,Mar-Jun,35000,5,Khajjiar Airport,High,1,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Khajjiar,0,,,,,,,,,,0,0
Spiti Valley,Himachal Pradesh,Adventure,Mar-Jun,35000,5,Spiti Valley Airport,High,1,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Spiti Valley,0,,,,,,,,,,0,0
Nubra Valley,Ladakh,Adventure,Mar-Jun,35000,5,Nubra Valley Airport,High,1,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Nubra Valley,0,,,,,,,,,,0,0
Pangong Lake,Ladakh,Lake,Oct-Mar,25000,3,Pangong Lake Airport,High,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,Pangong Lake,0,,,,,,,,,,0,0
