Destination,State,Category,Best_Season,Average_Budget,Recommended_Trip_Duration,Nearest_Airport,Popularity,Family_Friendly,Adventure_Score,Season_Mar-Jun,Season_Nov-Feb,Season_Oct-Mar,Category_Adventure,Category_Backwaters,Category_Beach,Category_Bird Sanctuary,Category_Coastal,Category_Cultural,Category_Desert,Category_Heritage,Category_Hill Station,Category_Island,Category_Lake,Category_Mountain,Category_Nature,Category_Rainforest,Category_Rural,Category_Snow,Category_Spiritual,Category_Valley,Category_Waterfall,Category_Wildlife,Hotel_City,Airport_City,Flight_Available,Average_Hotel_Rating,Average_Hotel_Price,Minimum_Hotel_Price,Maximum_Hotel_Price,Number_of_Hotels,Average_Flight_Cost,Minimum_Flight_Cost,Maximum_Flight_Cost,Number_of_Routes,Hotel_Data_Available,Supporting_Data_Available,Temperature,Feels_Like,Humidity,Pressure,Weather,Weather_Description,Wind_Speed,Cloudiness
Goa,Goa,Beach,Nov-Feb,30000,4,Goa Airport,High,1,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goa,Goa,1,4.345833333333333,9575.5,1157.0,26550.0,24.0,3292.5925925925926,2200.0,4200.0,27.0,1,1,28.21,32.46,79,1012,Rain,light rain,3.54,93
Ladakh (Leh),Ladakh,Mountain,Mar-Jun,35000,5,Ladakh Airport,High,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Ladakh,0,,,,,,,,,,0,0,14.83,13.49,43,1010,Clear,clear sky,3.02,7
Jaipur,Rajasthan,Heritage,Oct-Mar,22000,3,Jaipur Airport,High,1,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Jaipur,Jaipur,1,4.391304347826087,8092.913043478261,1039.0,34173.0,23.0,3105.555555555556,2200.0,6400.0,36.0,1,1,30.62,33.61,58,1006,Clouds,broken clouds,3.09,55
Varanasi (Kashi),Uttar Pradesh,Spiritual,Oct-Mar,18000,2,Varanasi Airport,High,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Varanasi,Varanasi,1,4.086956521739131,3137.782608695652,725.0,7824.0,23.0,3013.6363636363635,2100.0,4700.0,22.0,1,1,30.05,37.05,84,1003,Clouds,overcast clouds,0.0,100
Agra,Uttar Pradesh,Heritage,Oct-Mar,22000,3,Agra Airport,High,1,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,Agra,1,,,,,,3150.0,2400.0,3600.0,8.0,0,1,33.59,37.51,50,1004,Clouds,broken clouds,2.04,58
Udaipur,Rajasthan,Heritage,Oct-Mar,22000,3,Udaipur Airport,High,1,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,Udaipur,1,,,,,,2733.333333333333,2200.0,3900.0,15.0,0,1,27.5,29.42,67,1008,Clouds,broken clouds,3.95,51
Kerala Backwaters (Alappuzha & Kumarakom),Kerala,Backwaters,Oct-Mar,25000,3,Kerala Backwaters Airport,High,1,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kumarakom,Kerala Backwaters,0,4.291304347826087,8048.130434782609,2849.0,30267.0,23.0,,,,,1,1,27.38,30.04,75,1014,Clouds,broken clouds,3.56,58
Coorg (Kodagu),Karnataka,Hill Station,Mar-Jun,35000,5,Coorg Airport,High,1,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Coorg,0,,,,,,,,,,0,0,22.02,22.47,84,1015,Rain,light rain,2.59,100
Ziro Valley,Arunachal Pradesh,Valley,Mar-Jun,35000,5,Ziro Valley Airport,High,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Ziro Valley,0,,,,,,,,,,0,0,22.55,22.9,78,1008,Rain,light rain,0.52,100
Mawlynnong & Nearby,Meghalaya,Nature,Oct-Mar,25000,3,Mawlynnong & nearby Airport,High,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,Mawlynnong & nearby,0,,,,,,,,,,0,0,23.02,23.7,89,1009,Rain,light rain,0.0,100
Shimla,Himachal Pradesh,Hill Station,Mar-Jun,35000,5,Shimla Airport,High,1,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Shimla,1,,,,,,6375.0,6200.0,6600.0,4.0,0,1,20.39,20.78,88,1008,Clear,clear sky,0.0,1
Dharamshala & Mcleod Ganj,Himachal Pradesh,Hill Station,Mar-Jun,35000,5,Dharamshala & McLeod Ganj Airport,High,1,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Dharamshala & McLeod Ganj,0,,,,,,,,,,0,0,23.24,23.55,74,1009,Rain,light rain,2.7,16
