origin,destination,departure_date,return_date,outbound_airline,outbound_flight_number,outbound_departure,outbound_arrival,outbound_duration,outbound_stops,return_airline,return_flight_number,return_departure,return_arrival,return_duration,return_stops,total_duration,price,currency,travel_class
HYD,GOI,2026-09-15,2026-09-18,IndiGo,6E 362,2026-09-15 11:20,2026-09-15 12:35,75,0,IndiGo,6E 117,2026-09-18 19:05,2026-09-18 20:25,80,0,155,9538,INR,Economy
HYD,GOI,2026-09-15,2026-09-18,IndiGo,6E 362,2026-09-15 11:20,2026-09-15 12:35,75,0,IndiGo,6E 985,2026-09-18 21:40,2026-09-18 22:50,70,0,145,9538,INR,Economy
HYD,GOI,2026-09-15,2026-09-18,IndiGo,6E 362,2026-09-15 11:20,2026-09-15 12:35,75,0,IndiGo,6E 374,2026-09-18 16:35,2026-09-18 17:50,75,0,150,9538,INR,Economy
HYD,GOI,2026-09-15,2026-09-18,IndiGo,6E 362,2026-09-15 11:20,2026-09-15 12:35,75,0,IndiGo,6E 6177,2026-09-18 20:05,2026-09-18 21:15,70,0,145,9538,INR,Economy
HYD,COK,2026-09-15,2026-09-18,IndiGo,6E 6417,2026-09-15 17:45,2026-09-15 21:30,225,1,IndiGo,6E 304,2026-09-18 12:05,2026-09-18 13:40,95,0,320,14132,INR,Economy
HYD,COK,2026-09-15,2026-09-18,IndiGo,6E 6417,2026-09-15 17:45,2026-09-15 21:30,225,1,IndiGo,6E 6235,2026-09-18 13:50,2026-09-18 15:25,95,0,320,14132,INR,Economy
HYD,COK,2026-09-15,2026-09-18,IndiGo,6E 6417,2026-09-15 17:45,2026-09-15 21:30,225,1,IndiGo,6E 6011,2026-09-18 13:55,2026-09-18 17:25,210,1,435,14132,INR,Economy
HYD,COK,2026-09-15,2026-09-18,IndiGo,6E 6417,2026-09-15 17:45,2026-09-15 21:30,225,1,IndiGo,6E 6535,2026-09-18 09:40,2026-09-18 17:45,485,1,710,14132,INR,Economy
HYD,COK,2026-09-15,2026-09-18,IndiGo,6E 6417,2026-09-15 17:45,2026-09-15 21:30,225,1,IndiGo,6E 196,2026-09-18 12:00,2026-09-18 21:00,540,1,765,14132,INR,Economy
HYD,COK,2026-09-15,2026-09-18,IndiGo,6E 6417,2026-09-15 17:45,2026-09-15 21:30,225,1,IndiGo,6E 472,2026-09-18 21:40,2026-09-19 07:35,595,1,820,14132,INR,Economy
HYD,COK,2026-09-15,2026-09-18,IndiGo,6E 6417,2026-09-15 17:45,2026-09-15 21:30,225,1,IndiGo,6E 738,2026-09-18 16:05,2026-09-18 19:45,220,1,445,14132,INR,Economy
HYD,COK,2026-09-15,2026-09-18,IndiGo,6E 6417,2026-09-15 17:45,2026-09-15 21:30,225,1,IndiGo,6E 913,2026-09-18 09:30,2026-09-18 11:05,95,0,320,14132,INR,Economy
HYD,COK,2026-09-15,2026-09-18,IndiGo,6E 6417,2026-09-15 17:45,2026-09-15 21:30,225,1,IndiGo,6E 6681,2026-09-18 16:05,2026-09-18 17:35,90,0,315,14132,INR,Economy
HYD,JAI,2026-09-15,2026-09-18,IndiGo,6E 815,2026-09-15 05:55,2026-09-15 07:55,120,0,IndiGo,6E 816,2026-09-18 21:20,2026-09-18 23:20,120,0,240,15767,INR,Economy
HYD,JAI,2026-09-15,2026-09-18,IndiGo,6E 815,2026-09-15 05:55,2026-09-15 07:55,120,0,IndiGo,6E 6707,2026-09-18 07:05,2026-09-18 09:00,115,0,235,15767,INR,Economy
HYD,JAI,2026-09-15,2026-09-18,IndiGo,6E 815,2026-09-15 05:55,2026-09-15 07:55,120,0,IndiGo,6E 471,2026-09-18 19:05,2026-09-18 21:10,125,0,245,15767,INR,Economy
HYD,UDR,2026-09-15,2026-09-18,IndiGo,6E 913,2026-09-15 11:50,2026-09-15 17:50,360,1,IndiGo,6E 6324,2026-09-18 10:15,2026-09-18 12:00,105,0,465,20498,INR,Economy
HYD,UDR,2026-09-15,2026-09-18,IndiGo,6E 913,2026-09-15 11:50,2026-09-15 17:50,360,1,IndiGo,6E 5327,2026-09-18 19:40,2026-09-19 02:10,390,1,750,20498,INR,Economy
HYD,UDR,2026-09-15,2026-09-18,IndiGo,6E 913,2026-09-15 11:50,2026-09-15 17:50,360,1,IndiGo,6E 7749,2026-09-18 18:10,2026-09-18 23:20,310,1,670,20498,INR,Economy
HYD,DEL,2026-09-15,2026-09-18,Akasa Air,QP 1405,2026-09-15 06:00,2026-09-15 08:15,135,0,Akasa Air,QP 1409,2026-09-18 20:40,2026-09-18 23:10,150,0,285,14785,INR,Economy
HYD,DEL,2026-09-15,2026-09-18,Akasa Air,QP 1405,2026-09-15 06:00,2026-09-15 08:15,135,0,IndiGo,6E 6217,2026-09-18 16:15,2026-09-18 18:30,135,0,270,14785,INR,Economy
HYD,DEL,2026-09-15,2026-09-18,Akasa Air,QP 1405,2026-09-15 06:00,2026-09-15 08:15,135,0,Air India,AI 2519,2026-09-18 16:00,2026-09-18 18:20,140,0,275,14785,INR,Economy
HYD,DEL,2026-09-15,2026-09-18,Akasa Air,QP 1405,2026-09-15 06:00,2026-09-15 08:15,135,0,IndiGo,6E 6425,2026-09-18 05:10,2026-09-18 10:10,300,1,435,14785,INR,Economy
HYD,DEL,2026-09-15,2026-09-18,Akasa Air,QP 1405,2026-09-15 06:00,2026-09-15 08:15,135,0,IndiGo,6E 2296,2026-09-18 09:20,2026-09-18 14:45,325,1,460,14785,INR,Economy
HYD,DEL,2026-09-15,2026-09-18,Akasa Air,QP 1405,2026-09-15 06:00,2026-09-15 08:15,135,0,IndiGo,6E 2361,2026-09-18 14:35,2026-09-18 20:30,355,1,490,14785,INR,Economy
HYD,DEL,2026-09-15,2026-09-18,Akasa Air,QP 1405,2026-09-15 06:00,2026-09-15 08:15,135,0,IndiGo,6E 853,2026-09-18 20:45,2026-09-19 02:10,325,1,460,14785,INR,Economy
HYD,DEL,2026-09-15,2026-09-18,Akasa Air,QP 1405,2026-09-15 06:00,2026-09-15 08:15,135,0,IndiGo,6E 203,2026-09-18 07:10,2026-09-18 09:20,130,0,265,14785,INR,Economy
HYD,DEL,2026-09-15,2026-09-18,Akasa Air,QP 1405,2026-09-15 06:00,2026-09-15 08:15,135,0,IndiGo,6E 884,2026-09-18 11:45,2026-09-18 14:00,135,0,270,14785,INR,Economy
HYD,DEL,2026-09-15,2026-09-18,Akasa Air,QP 1405,2026-09-15 06:00,2026-09-15 08:15,135,0,IndiGo,6E 6282,2026-09-18 13:30,2026-09-18 15:45,135,0,270,14785,INR,Economy
HYD,DEL,2026-09-15,2026-09-18,Akasa Air,QP 1405,2026-09-15 06:00,2026-09-15 08:15,135,0,IndiGo,6E 6212,2026-09-18 14:45,2026-09-18 17:05,140,0,275,14785,INR,Economy
HYD,DEL,2026-09-15,2026-09-18,Akasa Air,QP 1405,2026-09-15 06:00,2026-09-15 08:15,135,0,IndiGo,6E 717,2026-09-18 17:55,2026-09-18 20:15,140,0,275,14785,INR,Economy
HYD,DEL,2026-09-15,2026-09-18,Akasa Air,QP 1405,2026-09-15 06:00,2026-09-15 08:15,135,0,IndiGo,6E 6601,2026-09-18 19:45,2026-09-18 22:05,140,0,275,14785,INR,Economy
HYD,DEL,2026-09-15,2026-09-18,Akasa Air,QP 1405,2026-09-15 06:00,2026-09-15 08:15,135,0,IndiGo,6E 382,2026-09-18 21:00,2026-09-18 23:15,135,0,270,14785,INR,Economy
HYD,DEL,2026-09-15,2026-09-18,Akasa Air,QP 1405,2026-09-15 06:00,2026-09-15 08:15,135,0,Akasa Air,QP 1406,2026-09-18 14:10,2026-09-18 16:45,155,0,290,14785,INR,Economy
HYD,DEL,2026-09-15,2026-09-18,Akasa Air,QP 1405,2026-09-15 06:00,2026-09-15 08:15,135,0,Air India,AI 2577,2026-09-18 02:00,2026-09-18 04:20,140,0,275,14785,INR,Economy
HYD,DEL,2026-09-15,2026-09-18,Akasa Air,QP 1405,2026-09-15 06:00,2026-09-15 08:15,135,0,Air India,AI 2899,2026-09-18 12:30,2026-09-18 14:45,135,0,270,14785,INR,Economy
HYD,DEL,2026-09-15,2026-09-18,Akasa Air,QP 1405,2026-09-15 06:00,2026-09-15 08:15,135,0,Air India,AI 2871,2026-09-18 20:30,2026-09-18 22:50,140,0,275,14785,INR,Economy
HYD,DEL,2026-09-15,2026-09-18,Akasa Air,QP 1405,2026-09-15 06:00,2026-09-15 08:15,135,0,Air India,AI 2449,2026-09-18 22:00,2026-09-19 00:20,140,0,275,14785,INR,Economy
HYD,DEL,2026-09-15,2026-09-18,Akasa Air,QP 1405,2026-09-15 06:00,2026-09-15 08:15,135,0,IndiGo,6E 705,2026-09-18 08:30,2026-09-18 10:45,135,0,270,14785,INR,Economy
HYD,DEL,2026-09-15,2026-09-18,Akasa Air,QP 1405,2026-09-15 06:00,2026-09-15 08:15,135,0,Air India,AI 1793,2026-09-18 06:00,2026-09-18 08:20,140,0,275,14785,INR,Economy
HYD,DEL,2026-09-15,2026-09-18,Akasa Air,QP 1405,2026-09-15 06:00,2026-09-15 08:15,135,0,Air India,AI 1708,2026-09-18 19:30,2026-09-18 21:50,140,0,275,14785,INR,Economy
HYD,DEL,2026-09-15,2026-09-18,Akasa Air,QP 1405,2026-09-15 06:00,2026-09-15 08:15,135,0,Air India,AI 2879,2026-09-18 18:00,2026-09-18 20:20,140,0,275,14785,INR,Economy
HYD,DEL,2026-09-15,2026-09-18,Akasa Air,QP 1405,2026-09-15 06:00,2026-09-15 08:15,135,0,Air India,AI 2859,2026-09-18 10:30,2026-09-18 12:50,140,0,275,14785,INR,Economy
HYD,DEL,2026-09-15,2026-09-18,Akasa Air,QP 1405,2026-09-15 06:00,2026-09-15 08:15,135,0,Air India,AI 2465,2026-09-18 14:30,2026-09-18 16:40,130,0,265,14785,INR,Economy
HYD,DEL,2026-09-15,2026-09-18,Akasa Air,QP 1405,2026-09-15 06:00,2026-09-15 08:15,135,0,IndiGo,6E 6293,2026-09-18 09:55,2026-09-18 12:20,145,0,280,14785,INR,Economy
HYD,DEL,2026-09-15,2026-09-18,Akasa Air,QP 1405,2026-09-15 06:00,2026-09-15 08:15,135,0,Air India,AI 2542,2026-09-18 09:40,2026-09-18 12:00,140,0,275,14785,INR,Economy
HYD,DEL,2026-09-15,2026-09-18,Akasa Air,QP 1405,2026-09-15 06:00,2026-09-15 08:15,135,0,IndiGo,6E 882,2026-09-18 23:15,2026-09-19 01:30,135,0,270,14785,INR,Economy
HYD,DEL,2026-09-15,2026-09-18,Akasa Air,QP 1405,2026-09-15 06:00,2026-09-15 08:15,135,0,Air India,AI 1706,2026-09-18 23:00,2026-09-19 01:20,140,0,275,14785,INR,Economy
HYD,BOM,2026-09-15,2026-09-18,IndiGo,6E 5143,2026-09-15 03:00,2026-09-15 04:35,95,0,IndiGo,6E 5056,2026-09-18 21:10,2026-09-18 22:45,95,0,190,12057,INR,Economy
HYD,BOM,2026-09-15,2026-09-18,IndiGo,6E 5143,2026-09-15 03:00,2026-09-15 04:35,95,0,IndiGo,6E 5228,2026-09-18 16:45,2026-09-18 18:20,95,0,190,12057,INR,Economy
HYD,BOM,2026-09-15,2026-09-18,IndiGo,6E 5143,2026-09-15 03:00,2026-09-15 04:35,95,0,IndiGo,6E 5326,2026-09-18 19:40,2026-09-18 21:20,100,0,195,12057,INR,Economy
HYD,BOM,2026-09-15,2026-09-18,IndiGo,6E 5143,2026-09-15 03:00,2026-09-15 04:35,95,0,Air India,AI 2875,2026-09-18 19:35,2026-09-18 21:05,90,0,185,12057,INR,Economy
HYD,BOM,2026-09-15,2026-09-18,IndiGo,6E 5143,2026-09-15 03:00,2026-09-15 04:35,95,0,IndiGo,6E 6187,2026-09-18 00:30,2026-09-18 02:10,100,0,195,12057,INR,Economy
HYD,BOM,2026-09-15,2026-09-18,IndiGo,6E 5143,2026-09-15 03:00,2026-09-15 04:35,95,0,IndiGo,6E 6195,2026-09-18 23:00,2026-09-19 00:35,95,0,190,12057,INR,Economy
