destination,sight_count,park_count,restaurant_count,water_count,forest_count,wetland_count,river_count,mountain_count,coastal_count,sand_count,protected_area_count,flight_count,min_flight_price,avg_flight_price,max_flight_price,avg_total_duration,avg_outbound_stops,avg_return_stops,weather_available,accommodation_available,flight_available,latitude,longitude,temperature,feels_like,humidity,pressure,wind_speed,cloudiness,visibility,rain_1h,hotel_count,room_count,min_hotel_price,avg_hotel_price,max_hotel_price,avg_allotment,weather_condition_Clear,weather_condition_Clouds,weather_condition_Rain,weather_description_broken clouds,weather_description_clear sky,weather_description_few clouds,weather_description_light rain,weather_description_moderate rain,weather_description_overcast clouds,weather_description_scattered clouds
Agra,-0.170162711105195,1.371695735624273,1.1691484120483406,0.3566561980980929,0.4123864573121726,-0.18877616784811171,-0.6198336032771091,-0.5787646880194287,-0.3489532490042598,-0.21605924398239526,-0.7808688094430303,-0.32819623087026273,-0.41856192132419956,-0.41856192132419956,-0.41856192132419956,-0.36957357845780314,-0.25264557631995566,-0.25900548793759204,1,1,0,0.7654860786170629,-0.12477895381838189,0.2943920216512088,0.8004464725767447,1.025131102202875,-1.2265285211548984,-0.507394884673868,0.7428678797061753,0.18416809907444928,-0.4364360701473351,-0.18168833578601,-0.3023124737269108,-0.7027050771152001,-0.5904614660716458,-0.37448554702028086,0.4250846579068288,0,1,0,0,0,0,0,0,1,0
Ahmedabad,-0.2074790951194922,1.0423570235896336,-0.42714650082368766,-0.6017289791328667,-0.7957769918445833,-0.4932538579257112,-0.40609787800914043,-0.5787646880194287,-0.3489532490042598,-0.21605924398239526,-0.7808688094430303,-0.32819623087026273,-0.41856192132419956,-0.41856192132419956,-0.41856192132419956,-0.36957357845780314,-0.25264557631995566,-0.25900548793759204,1,1,0,0.24928051686060543,-1.1534249805147676,0.6958723691607374,0.4966855095659955,-1.0070671180230892,-0.43265892817437523,-0.05561693583735008,0.7428678797061753,0.18416809907444928,-0.4364360701473351,0.2190947578596002,0.8173633548912773,-0.08793020587601244,0.11428683676674566,-0.18819186757910336,0.47692554491900335,0,1,0,0,0,0,0,0,1,0
Alappuzha,-0.020897175048006363,-0.6455038755878931,0.398523281696327,1.451953543504904,-0.7957769918445833,1.8410750993358849,1.09005219886664,-0.5787646880194287,0.022273611638569793,-0.21605924398239526,-0.7808688094430303,-0.32819623087026273,-0.41856192132419956,-0.41856192132419956,-0.41856192132419956,-0.36957357845780314,-0.25264557631995566,-0.25900548793759204,1,1,0,-1.435328346883065,-0.4467642091748434,0.08659063575431679,0.12606806665814466,0.34773169546088706,1.1550802577866712,0.6066983095443411,0.7428678797061753,0.18416809907444928,0.024425672352490768,-0.4488770648830835,-0.6288845904072157,1.2755940604290164,0.8963019791144125,-0.13529742702689174,0.0746281351812509,0,0,1,0,0,0,1,0,0,0
Amritsar,-0.2821118631480865,-0.5220018585749033,0.013210716520320149,0.32242815605413006,-0.5138721870413402,-0.3917612945665114,-0.8335693285450777,-0.5787646880194287,-0.3489532490042598,-0.21605924398239526,-0.7808688094430303,-0.32819623087026273,-0.41856192132419956,-0.41856192132419956,-0.41856192132419956,-0.36957357845780314,-0.25264557631995566,-0.25900548793759204,1,1,0,1.3189828277023363,-0.725032008396711,1.6945295149758968,1.87596375787796,-0.9506171674612569,-1.62346331764516,-0.7354769559311392,-1.7814404493924787,0.18416809907444928,-0.4364360701473351,0.08550039331106347,-0.20900615467539513,-0.24220389997943126,0.024837360510388606,0.3939067894353112,-0.5672507901316385,0,1,0,0,0,1,0,0,0,0
Andaman,-0.6552757032910582,-1.0983446046355223,-1.5280395441837071,-1.0809215677483466,-0.7957769918445833,-0.4932538579257112,-0.8335693285450777,-0.5787646880194287,-0.3489532490042598,-0.21605924398239526,-0.7808688094430303,-0.32819623087026273,-0.41856192132419956,-0.41856192132419956,-0.41856192132419956,-0.36957357845780314,-0.25264557631995566,-0.25900548793759204,1,0,0,-1.0289066474895592,2.6991401244706097,0.05431080881887725,0.13624187881639943,0.6299814482700488,0.5596780630512789,2.0892317727166043,0.7428678797061753,0.18416809907444928,0.6465890247272555,-0.716065793980157,-0.815497228510247,-0.8572687593654299,-0.9415351714612066,-0.42758909094479575,-1.0592017912838532,0,0,1,0,0,0,1,0,0,0
Bengaluru,2.964413546095767,0.5071816165333446,1.1966707381323411,1.0412170389773499,0.6540191471435237,-0.4932538579257112,2.5862022757424206,-0.5787646880194287,-0.3489532490042598,-0.21605924398239526,-0.7808688094430303,2.0421098809705236,1.18662048627114,1.18662048627114,1.18662048627114,0.6642473586317122,-0.25264557631995566,-0.25900548793759204,1,1,1,-1.0016907976311704,-0.20352752186213763,0.20360500839528464,0.07083880065619048,-0.4990175629665981,0.7581454612964096,0.8435527681576612,0.7428678797061753,0.18416809907444928,-0.4364360701473351,1.6886327678935045,2.356917619241286,-0.39647759408285005,0.0982411750541407,0.2546455117566337,0.7775117406650331,0,1,0,0,0,0,0,0,1,0
Bhopal,-0.394061015190978,-0.192663146540264,-0.9500706964196969,-0.36213268482512684,-0.7957769918445833,-0.2902687312073115,-0.8335693285450777,-0.3132762990196908,-0.3489532490042598,-0.21605924398239526,2.342606428329091,-0.32819623087026273,-0.41856192132419956,-0.41856192132419956,-0.41856192132419956,-0.36957357845780314,-0.25264557631995566,-0.25900548793759204,1,1,0,0.27831241520131794,-0.2422541398672068,-0.6941776782466265,-0.743066172004189,1.025131102202875,-0.03572413168411362,-0.05561693583735008,0.7428678797061753,-2.2638185328440246,2.812639214476437,-0.4488770648830835,-0.3956187927784265,-0.06502114227794838,-0.5573340218317009,-0.3804014299283605,-0.35957718893095353,0,0,1,0,0,0,0,1,0,0
Bhubaneswar,-0.4313773992052752,1.7422017866632422,-0.4546688269076882,-0.533272895044941,-0.7152327619007995,-0.2902687312073115,-0.8335693285450777,0.7486772569792609,-0.3489532490042598,-0.21605924398239526,-0.7808688094430303,-0.32819623087026273,-0.41856192132419956,-0.41856192132419956,-0.41856192132419956,-0.36957357845780314,-0.25264557631995566,-0.25900548793759204,1,1,0,-0.09900275372206488,1.3642052188251281,0.5142983426488904,0.8411417212097638,0.17838184377539001,-1.2265285211548984,-0.507394884673868,0.6527140108097949,0.18416809907444928,3.7804488737260717,-0.31528270033454675,0.11756596200490974,-0.1392581078615484,-0.17824788575588277,-0.21109739948682274,-0.08786727673995096,0,0,1,0,0,0,0,1,0,0
Chennai,1.658340105595366,0.6718509725506643,1.1141037598803396,1.451953543504904,-0.5541443020132321,0.4201792123070872,1.09005219886664,-0.5787646880194287,2.9920884967812067,-0.21605924398239526,-0.7808688094430303,-0.32819623087026273,-0.41856192132419956,-0.41856192132419956,-0.41856192132419956,-0.36957357845780314,-0.25264557631995566,-0.25900548793759204,1,1,0,-0.9878092215608042,0.30607133936344705,1.0549854438175021,1.4152354072827094,-0.16031785959560405,-0.23419152992924444,-0.28369900709462126,0.7428678797061753,0.18416809907444928,-0.4364360701473351,0.48628348695667367,1.0039759929943086,-0.15433749149571716,-0.2984399456731585,-0.2688970566476483,2.134130925955663,0,1,0,0,0,0,0,0,1,0
Coorg,-0.6552757032910582,-0.9336752486182025,-1.5280395441837071,-1.0809215677483466,-0.7957769918445833,-0.4932538579257112,-0.8335693285450777,-0.5787646880194287,-0.3489532490042598,-0.21605924398239526,-0.7808688094430303,-0.32819623087026273,-0.41856192132419956,-0.41856192132419956,-0.41856192132419956,-0.36957357845780314,-0.25264557631995566,-0.25900548793759204,1,0,0,-1.0836866304769193,-0.5656109232592658,-0.7688247780348297,-0.8128294553750787,0.8557812505173782,1.353547656031802,-0.498622497317819,0.6827653004419216,0.18416809907444928,-0.15991902464743962,-0.716065793980157,-0.815497228510247,-0.8572687593654299,-0.9415351714612066,-0.42758909094479575,-1.0592017912838532,0,0,1,0,0,0,1,0,0,0
