destination,sight_count,park_count,restaurant_count,water_count,forest_count,wetland_count,river_count,mountain_count,coastal_count,sand_count,protected_area_count
Agra,13,60,98,42,32,3,1,0,0,0,0
Ahmedabad,12,52,40,14,2,0,2,0,0,0,0
Alappuzha,17,11,70,74,2,23,9,0,1,0,0
Amritsar,10,14,56,41,9,1,0,0,0,0,0
Andaman,0,0,0,0,2,0,0,0,0,0,0
Bengaluru,97,39,99,62,38,0,16,0,0,0,0
Bhopal,7,22,21,21,2,2,0,1,0,0,2
Bhubaneswar,6,69,39,16,4,2,0,5,0,0,0
Chennai,62,43,96,74,8,9,9,0,9,0,0
Coorg,0,4,0,0,2,0,0,0,0,0,0
Darjeeling,7,13,46,2,97,0,0,0,0,0,1
Delhi,100,28,100,75,18,5,3,1,0,0,1
Dharamshala,6,5,98,16,39,1,9,5,0,0,0
Gangtok,1,4,25,8,3,0,0,0,0,0,1
Goa,9,18,6,14,23,38,5,5,0,0,0
Gokarna,1,0,82,17,49,19,6,2,12,0,0
Hampi,76,11,53,26,10,0,9,15,0,0,0
Hyderabad,100,44,81,17,5,7,7,4,0,0,0
Indore,9,74,56,19,31,0,6,0,0,0,0
Jaipur,11,70,84,27,5,0,8,5,0,0,2
Jaisalmer,4,0,72,2,0,0,0,0,0,1,0
Jim Corbett,0,0,0,17,1,5,8,0,0,0,1
Jodhpur,9,35,66,23,2,11,1,0,0,0,0
Kaziranga,0,2,5,24,34,41,10,1,0,0,0
Kochi,21,78,98,82,6,4,4,0,6,1,1
Kodaikanal,1,3,43,4,34,4,0,2,0,0,1
Kolkata,20,61,99,98,1,0,4,0,0,0,1
Ladakh,6,0,0,0,0,0,0,1,0,0,1
Mahabalipuram,1,4,49,30,1,0,3,0,2,0,2
Manali,3,2,86,9,69,0,5,21,0,0,2
Mumbai,78,56,99,44,14,39,17,2,0,0,1
Munnar,2,13,28,89,10,0,0,1,0,0,0
Mussoorie,8,39,13,1,6,0,0,2,0,0,1
Mysore,10,35,96,29,20,1,0,1,0,1,0
Nainital,1,11,1,4,91,0,0,2,0,0,0
Ooty,8,12,30,9,28,0,0,3,0,0,0
Pahalgam,0,0,2,0,7,0,0,0,0,0,1
Pondicherry,32,26,70,20,73,3,2,0,4,0,0
Pune,27,69,100,45,23,6,8,5,0,20,0
Ranchi,3,27,49,61,26,2,0,1,0,0,0
Ranthambore,2,7,11,1,7,0,0,2,0,0,1
Rishikesh,5,21,92,19,9,3,11,6,0,1,1
Shillong,3,4,30,16,43,0,4,1,0,34,0
Shimla,7,4,27,0,91,0,0,6,0,0,1
Srinagar,9,51,99,45,29,9,17,3,0,0,0
Thiruvananthapuram,40,73,92,84,12,1,4,1,2,0,0
Udaipur,10,35,90,24,34,1,2,1,0,0,1
Varanasi,6,42,85,76,13,1,4,0,0,1,1
Varkala,11,31,93,60,22,2,1,4,11,0,0
Wayanad,7,12,1,98,1,0,0,0,0,0,1
