destination,sight_score,park_score,restaurant_score,water_score,forest_score,wetland_score,river_score,mountain_score,coastal_score,sand_score,protected_area_score,sights_capped,park_capped,restaurant_capped,natural_capped
Agra,0.76,0.86,0.86,0.7,0.76,0.7,0.44,0.22,0.43,0.44,0.3,False,True,True,False
Ahmedabad,0.74,0.82,0.38,0.31,0.19,0.24,0.5,0.22,0.43,0.44,0.3,False,True,False,False
Alappuzha,0.78,0.36,0.57,0.85,0.19,0.94,0.87,0.22,0.86,0.44,0.3,False,False,False,True
Amritsar,0.66,0.48,0.51,0.68,0.45,0.53,0.21,0.22,0.43,0.44,0.3,False,True,False,False
Andaman,0.06,0.07,0.05,0.06,0.19,0.24,0.21,0.22,0.43,0.44,0.3,False,False,False,False
Bengaluru,0.96,0.71,0.93,0.82,0.84,0.24,0.96,0.22,0.43,0.44,0.3,False,True,True,True
Bhopal,0.47,0.54,0.24,0.52,0.19,0.63,0.21,0.53,0.43,0.44,0.97,False,True,False,False
Bhubaneswar,0.39,0.91,0.36,0.36,0.28,0.63,0.21,0.88,0.43,0.44,0.3,False,True,False,False
Chennai,0.9,0.76,0.81,0.85,0.42,0.87,0.87,0.22,0.96,0.44,0.3,False,True,True,True
Coorg,0.06,0.24,0.05,0.06,0.19,0.24,0.21,0.22,0.43,0.44,0.3,False,False,False,False
Darjeeling,0.47,0.45,0.42,0.17,1.0,0.24,0.21,0.22,0.43,0.44,0.76,False,False,False,True
Delhi,0.99,0.6,0.99,0.88,0.58,0.79,0.55,0.53,0.43,0.44,0.76,True,True,True,True
Dharamshala,0.39,0.3,0.86,0.36,0.86,0.53,0.87,0.88,0.43,0.44,0.3,False,False,True,False
Gangtok,0.16,0.24,0.26,0.24,0.26,0.24,0.21,0.22,0.43,0.44,0.76,False,False,False,False
Goa,0.59,0.5,0.18,0.31,0.65,0.96,0.69,0.88,0.43,0.44,0.3,False,False,False,False
Gokarna,0.16,0.07,0.64,0.42,0.9,0.92,0.73,0.69,1.0,0.44,0.3,False,False,False,True
Hampi,0.92,0.36,0.48,0.6,0.49,0.24,0.87,0.98,0.43,0.44,0.3,False,False,False,False
Hyderabad,0.99,0.78,0.62,0.42,0.31,0.84,0.76,0.81,0.43,0.44,0.3,True,True,False,False
Indore,0.59,0.98,0.51,0.47,0.74,0.24,0.73,0.22,0.43,0.44,0.3,False,True,False,False
Jaipur,0.71,0.94,0.66,0.62,0.31,0.24,0.8,0.88,0.43,0.44,0.97,False,True,True,False
Jaisalmer,0.32,0.07,0.6,0.17,0.03,0.24,0.21,0.22,0.43,0.92,0.3,False,False,False,False
Jim Corbett,0.06,0.07,0.05,0.42,0.09,0.79,0.8,0.22,0.43,0.44,0.76,False,False,False,False
Jodhpur,0.59,0.66,0.54,0.54,0.19,0.9,0.44,0.22,0.43,0.44,0.3,False,False,False,False
Kaziranga,0.06,0.15,0.16,0.57,0.8,1.0,0.92,0.53,0.43,0.44,0.3,False,False,False,True
Kochi,0.82,1.0,0.86,0.92,0.35,0.75,0.62,0.22,0.94,0.92,0.76,False,True,True,True
Kodaikanal,0.16,0.18,0.4,0.21,0.8,0.75,0.21,0.69,0.43,0.44,0.76,False,False,False,False
Kolkata,0.8,0.88,0.93,0.99,0.09,0.24,0.62,0.22,0.43,0.44,0.76,False,True,True,True
Ladakh,0.39,0.07,0.05,0.06,0.03,0.24,0.21,0.53,0.43,0.44,0.76,False,False,False,False
Mahabalipuram,0.16,0.24,0.45,0.66,0.09,0.24,0.55,0.22,0.89,0.44,0.97,False,False,False,False
Manali,0.28,0.15,0.7,0.27,0.92,0.24,0.69,1.0,0.43,0.44,0.97,False,False,False,True
Mumbai,0.94,0.84,0.93,0.72,0.56,0.98,0.99,0.69,0.43,0.44,0.76,False,True,True,True
Munnar,0.23,0.45,0.3,0.96,0.49,0.24,0.21,0.53,0.43,0.44,0.3,False,False,False,True
Mussoorie,0.53,0.71,0.22,0.13,0.35,0.24,0.21,0.69,0.43,0.44,0.76,False,False,False,False
Mysore,0.66,0.66,0.81,0.64,0.6,0.53,0.21,0.53,0.43,0.92,0.3,False,True,True,False
Nainital,0.16,0.36,0.11,0.21,0.97,0.24,0.21,0.69,0.43,0.44,0.3,False,False,False,False
Ooty,0.53,0.41,0.33,0.27,0.7,0.24,0.21,0.77,0.43,0.44,0.3,False,False,False,False
Pahalgam,0.06,0.07,0.14,0.06,0.39,0.24,0.21,0.22,0.43,0.44,0.76,False,False,False,False
Pondicherry,0.86,0.56,0.57,0.5,0.94,0.7,0.5,0.22,0.92,0.44,0.3,False,False,True,True
Pune,0.84,0.91,0.99,0.75,0.65,0.82,0.8,0.88,0.43,0.98,0.3,False,True,True,True
Ranchi,0.28,0.58,0.45,0.8,0.68,0.63,0.21,0.53,0.43,0.44,0.3,False,False,False,False
Ranthambore,0.23,0.32,0.2,0.13,0.39,0.24,0.21,0.69,0.43,0.44,0.76,False,False,False,False
Rishikesh,0.34,0.52,0.75,0.47,0.45,0.7,0.94,0.95,0.43,0.92,0.76,False,False,True,False
Shillong,0.28,0.24,0.33,0.36,0.88,0.24,0.62,0.53,0.43,1.0,0.3,False,False,False,False
Shimla,0.47,0.24,0.28,0.06,0.97,0.24,0.21,0.95,0.43,0.44,0.76,False,False,False,True
Srinagar,0.59,0.8,0.93,0.75,0.72,0.87,0.99,0.77,0.43,0.44,0.3,False,True,True,False
Thiruvananthapuram,0.88,0.96,0.75,0.94,0.52,0.53,0.62,0.53,0.89,0.44,0.3,False,True,True,True
Udaipur,0.66,0.66,0.72,0.57,0.8,0.53,0.5,0.53,0.43,0.44,0.76,False,False,True,False
Varanasi,0.39,0.74,0.68,0.9,0.54,0.53,0.62,0.22,0.43,0.92,0.76,False,True,False,False
Varkala,0.71,0.62,0.78,0.78,0.62,0.63,0.44,0.81,0.98,0.44,0.3,False,False,True,True
Wayanad,0.47,0.41,0.11,0.99,0.09,0.24,0.21,0.22,0.43,0.44,0.76,False,False,False,True
