destination,sight_score,park_score,restaurant_score,water_score,forest_score,wetland_score,river_score,mountain_score,coastal_score,sand_score,protected_area_score,sights_capped,park_capped,restaurant_capped,natural_capped,country,latitude,longitude,temperature,feels_like,humidity,pressure,wind_speed,cloudiness,weather_condition,weather_description,visibility,rain_1h,timestamp
Agra,0.76,0.86,0.86,0.7,0.76,0.7,0.44,0.22,0.43,0.44,0.3,False,True,True,False,IN,27.1833,78.0167,28.19,30.76,68,1003,0.42,100,Clouds,overcast clouds,10000.0,0.0,2026-08-25T15:47:57+00:00
Ahmedabad,0.74,0.82,0.38,0.31,0.19,0.24,0.5,0.22,0.43,0.44,0.3,False,True,False,False,IN,23.0333,72.6167,30.02,33.28,62,1006,2.06,99,Clouds,overcast clouds,10000.0,0.0,2026-08-25T15:40:27+00:00
Alappuzha,0.78,0.36,0.57,0.85,0.19,0.94,0.87,0.22,0.86,0.44,0.3,False,False,False,True,IN,9.49,76.3264,25.61,26.45,85,1014,2.74,100,Rain,light rain,10000.0,0.35,2026-08-25T15:50:40+00:00
Amritsar,0.66,0.48,0.51,0.68,0.45,0.53,0.21,0.22,0.43,0.44,0.3,False,True,False,False,IN,31.6331,74.8656,30.97,37.97,74,1003,2.06,0,Clear,clear sky,10000.0,0.0,2026-08-25T15:50:42+00:00
Andaman,0.06,0.07,0.05,0.06,0.19,0.24,0.21,0.22,0.43,0.44,0.3,False,False,False,False,ID,-3.198,114.4621,22.83,23.41,86,1013,1.3,5,Clear,clear sky,10000.0,0.0,2026-08-25T15:50:43+00:00
Bengaluru,0.96,0.71,0.93,0.82,0.84,0.24,0.96,0.22,0.43,0.44,0.3,False,True,True,True,IN,12.9762,77.6033,23.65,24.13,79,1013,6.69,75,Clouds,broken clouds,10000.0,0.0,2026-08-25T15:42:03+00:00
Bhopal,0.47,0.54,0.24,0.52,0.19,0.63,0.21,0.53,0.43,0.44,0.97,False,True,False,False,IN,23.2667,77.4,23.13,23.95,94,1006,3.6,100,Rain,light rain,9422.0,0.39,2026-08-25T15:38:22+00:00
Bhubaneswar,0.39,0.91,0.36,0.36,0.28,0.63,0.21,0.88,0.43,0.44,0.3,False,True,False,False,IN,20.2333,85.8333,27.12,31.54,94,1004,0.51,63,Clouds,broken clouds,10000.0,0.0,2026-08-25T15:46:01+00:00
Chennai,0.9,0.76,0.81,0.85,0.42,0.87,0.87,0.22,0.96,0.44,0.3,False,True,True,True,IN,13.0878,80.2785,28.39,32.92,79,1008,4.12,99,Clouds,overcast clouds,10000.0,0.0,2026-08-25T15:47:11+00:00
Coorg,0.06,0.24,0.05,0.06,0.19,0.24,0.21,0.22,0.43,0.44,0.3,False,False,False,False,IN,12.3755,75.6625,19.0,19.51,98,1016,1.4,97,Rain,light rain,10000.0,0.1,2026-08-25T15:54:27.718108+00:00
Darjeeling,0.47,0.45,0.42,0.17,1.0,0.24,0.21,0.22,0.43,0.44,0.76,False,False,False,True,IN,27.0333,88.2667,18.39,18.82,97,1010,0.68,96,Rain,light rain,10000.0,0.26,2026-08-25T15:50:53+00:00
Delhi,0.99,0.6,0.99,0.88,0.58,0.79,0.55,0.53,0.43,0.44,0.76,True,True,True,True,IN,28.6667,77.2167,27.96,34.33,94,1004,2.06,56,Clouds,broken clouds,10000.0,0.0,2026-08-25T15:40:59+00:00
Dharamshala,0.39,0.3,0.86,0.36,0.86,0.53,0.87,0.88,0.43,0.44,0.3,False,False,True,False,IN,32.2143,76.3197,20.49,20.76,83,1009,1.87,38,Clouds,scattered clouds,10000.0,0.0,2026-08-25T15:54:31.567391+00:00
Gangtok,0.16,0.24,0.26,0.24,0.26,0.24,0.21,0.22,0.43,0.44,0.76,False,False,False,False,IN,27.3333,88.6167,21.35,22.05,96,1012,0.32,95,Rain,light rain,10000.0,0.19,2026-08-25T15:50:59+00:00
Goa,0.59,0.5,0.18,0.31,0.65,0.96,0.69,0.88,0.43,0.44,0.3,False,False,False,False,IN,15.3333,74.0833,26.21,26.21,92,1010,1.96,66,Rain,light rain,10000.0,0.23,2026-08-25T14:28:43+00:00
Gokarna,0.16,0.07,0.64,0.42,0.9,0.92,0.73,0.69,1.0,0.44,0.3,False,False,False,True,IN,14.55,74.3167,27.64,31.09,79,1013,4.66,29,Rain,light rain,10000.0,0.51,2026-08-25T15:51:01+00:00
Hampi,0.92,0.36,0.48,0.6,0.49,0.24,0.87,0.98,0.43,0.44,0.3,False,False,False,False,IN,15.3333,76.4667,25.34,25.91,76,1011,8.64,81,Clouds,broken clouds,10000.0,0.0,2026-08-25T15:51:02+00:00
Hyderabad,0.99,0.78,0.62,0.42,0.31,0.84,0.76,0.81,0.43,0.44,0.3,True,True,False,False,IN,17.3753,78.4744,26.23,26.23,73,1010,5.14,22,Clouds,few clouds,10000.0,0.0,2026-08-25T14:29:49+00:00
Indore,0.59,0.98,0.51,0.47,0.74,0.24,0.73,0.22,0.43,0.44,0.3,False,True,False,False,IN,22.7179,75.8333,25.1,25.96,88,1008,2.57,100,Rain,light rain,10000.0,0.26,2026-08-25T15:49:03+00:00
Jaipur,0.71,0.94,0.66,0.62,0.31,0.24,0.8,0.88,0.43,0.44,0.97,False,True,True,False,IN,26.9167,75.8167,27.62,32.42,89,1004,0.0,97,Clouds,overcast clouds,10000.0,0.0,2026-08-25T14:26:24+00:00
Jaisalmer,0.32,0.07,0.6,0.17,0.03,0.24,0.21,0.22,0.43,0.92,0.3,False,False,False,False,IN,26.9147,70.9181,36.4,37.93,34,1003,4.91,29,Clouds,scattered clouds,10000.0,0.0,2026-08-25T15:51:07+00:00
Jim Corbett,0.06,0.07,0.05,0.42,0.09,0.79,0.8,0.22,0.43,0.44,0.76,False,False,False,False,IN,29.5575,78.8425,26.25,26.25,84,1005,1.22,100,Clouds,overcast clouds,10000.0,0.0,2026-08-25T15:54:37.918405+00:00
Jodhpur,0.59,0.66,0.54,0.54,0.19,0.9,0.44,0.22,0.43,0.44,0.3,False,False,False,False,IN,26.2867,73.03,34.89,37.01,40,1003,5.03,5,Clear,clear sky,10000.0,0.0,2026-08-25T15:49:44+00:00
Kaziranga,0.06,0.15,0.16,0.57,0.8,1.0,0.92,0.53,0.43,0.44,0.3,False,False,False,True,IN,26.5893,93.4085,25.46,26.54,95,1007,1.53,98,Rain,light rain,10000.0,0.12,2026-08-25T15:54:36.688693+00:00
Kochi,0.82,1.0,0.86,0.92,0.35,0.75,0.62,0.22,0.94,0.92,0.76,False,True,True,True,IN,9.9399,76.2602,24.99,25.89,90,1014,3.08,100,Rain,moderate rain,7388.0,1.07,2026-08-25T15:49:21+00:00
Kodaikanal,0.16,0.18,0.4,0.21,0.8,0.75,0.21,0.69,0.43,0.44,0.76,False,False,False,False,IN,10.2333,77.4833,14.75,14.47,84,1015,1.78,100,Clouds,overcast clouds,10000.0,0.0,2026-08-25T15:51:21+00:00
Kolkata,0.8,0.88,0.93,0.99,0.09,0.24,0.62,0.22,0.43,0.44,0.76,False,True,True,True,IN,22.5697,88.3697,28.97,35.97,94,1004,3.09,76,Rain,light rain,10000.0,0.13,2026-08-25T15:48:01+00:00
Ladakh,0.39,0.07,0.05,0.06,0.03,0.24,0.21,0.53,0.43,0.44,0.76,False,False,False,False,IN,33.9456,77.6569,15.11,13.2,20,1007,3.02,0,Clear,clear sky,10000.0,0.0,2026-08-25T15:54:29.659854+00:00
Mahabalipuram,0.16,0.24,0.45,0.66,0.09,0.24,0.55,0.22,0.89,0.44,0.97,False,False,False,False,IN,12.6264,80.1722,27.78,31.14,77,1009,5.03,100,Clouds,overcast clouds,10000.0,0.0,2026-08-25T15:47:54+00:00
Manali,0.28,0.15,0.7,0.27,0.92,0.24,0.69,1.0,0.43,0.44,0.97,False,False,False,True,IN,13.1667,80.2667,30.29,37.29,79,1007,0.45,98,Clouds,overcast clouds,10000.0,0.0,2026-08-25T14:30:02+00:00
Mumbai,0.94,0.84,0.93,0.72,0.56,0.98,0.99,0.69,0.43,0.44,0.76,False,True,True,True,IN,19.0144,72.8479,28.99,34.5,79,1010,5.14,71,Clouds,broken clouds,10000.0,0.0,2026-08-25T15:44:50+00:00
