Destination,Temperature,Feels_Like,Humidity,Pressure,Weather,Weather_Description,Wind_Speed,Cloudiness
Goa,28.21,32.46,79,1012,Rain,light rain,3.54,93
Jaipur,30.62,33.61,58,1006,Clouds,broken clouds,3.09,55
Agra,33.59,37.51,50,1004,Clouds,broken clouds,2.04,58
Udaipur,27.5,29.42,67,1008,Clouds,broken clouds,3.95,51
Shimla,20.39,20.78,88,1008,Clear,clear sky,0.0,1
Manali,33.05,38.26,56,1008,Clouds,overcast clouds,5.57,100
Tawang,20.73,20.45,61,1011,Rain,light rain,3.26,98
Khajjiar,23.3,23.54,71,1008,Clear,clear sky,2.03,9
Ooty,16.82,16.28,66,1014,Clouds,overcast clouds,1.78,100
Munnar,20.0,19.96,73,1015,Clouds,overcast clouds,3.2,95
Kanyakumari,28.82,34.04,79,1012,Clouds,broken clouds,10.48,80
Gokarna,27.83,30.72,73,1012,Rain,light rain,4.62,99
Pondicherry,30.21,35.56,70,1009,Clouds,overcast clouds,3.09,100
Hampi,28.91,30.45,57,1011,Clouds,broken clouds,9.04,66
Varkala,27.73,30.52,73,1014,Clouds,overcast clouds,4.65,97
Shillong,23.02,23.7,89,1009,Rain,light rain,0.0,100
Cherrapunji,22.43,22.92,84,1008,Clouds,overcast clouds,2.13,100
Rishikesh,29.05,36.05,94,1006,Rain,light rain,1.54,19
Haridwar,28.44,33.6,82,1006,Clouds,few clouds,1.73,14
Amritsar,28.97,33.42,74,1005,Clouds,few clouds,2.57,18
Binsar,23.06,23.41,76,1007,Rain,moderate rain,0.82,93
Chakrata,21.6,21.93,81,1008,Rain,light rain,1.88,33
Jaisalmer,31.39,33.28,50,1004,Clear,clear sky,7.29,2
Chikmagalur,23.66,23.94,71,1014,Clouds,overcast clouds,4.54,97
Agumbe,23.63,24.19,82,1013,Rain,light rain,2.54,99
Port Blair,30.02,37.02,79,1011,Clouds,overcast clouds,6.17,100
Darjeeling,24.39,24.61,66,1007,Clouds,overcast clouds,2.63,95
Gangtok,27.66,30.14,71,1008,Rain,light rain,2.45,98
Orchha,30.35,35.91,70,1005,Rain,light rain,1.56,90
Mamallapuram,31.98,37.96,63,1009,Clouds,overcast clouds,4.87,100
Bodh Gaya,30.94,37.94,79,1004,Clouds,broken clouds,0.0,78
