destination,status,records_returned,error,availability_status
Goa,success,249,,AVAILABLE
Munnar,success,15,,AVAILABLE
Manali,success,48,,AVAILABLE
Jaipur,success,492,,AVAILABLE
Udaipur,success,153,,AVAILABLE
Jaisalmer,success,24,,AVAILABLE
Jodhpur,success,35,,AVAILABLE
Agra,success,44,,AVAILABLE
Varanasi,success,64,,AVAILABLE
Rishikesh,success,126,,AVAILABLE
Shimla,success,41,,AVAILABLE
Mussoorie,success,42,,AVAILABLE
Nainital,success,87,,AVAILABLE
Darjeeling,success,93,,AVAILABLE
Gangtok,success,146,,AVAILABLE
Ooty,success,29,,AVAILABLE
Kodaikanal,success,0,,NO_AVAILABILITY
Coorg,success,0,,NO_AVAILABILITY
Wayanad,success,0,,NO_AVAILABILITY
Alappuzha,success,9,,AVAILABLE
Kochi,success,89,,AVAILABLE
Thiruvananthapuram,success,68,,AVAILABLE
Varkala,success,4,,AVAILABLE
Pondicherry,success,38,,AVAILABLE
Mahabalipuram,success,0,,NO_AVAILABILITY
Hampi,success,20,,AVAILABLE
Mysore,success,44,,AVAILABLE
Gokarna,success,10,,AVAILABLE
Andaman,success,0,,NO_AVAILABILITY
Mumbai,success,491,,AVAILABLE
Delhi,success,582,,AVAILABLE
Amritsar,success,66,,AVAILABLE
Ladakh,success,0,,NO_AVAILABILITY
Srinagar,success,3,,AVAILABLE
Dharamshala,success,34,,AVAILABLE
Kolkata,success,237,,AVAILABLE
Bengaluru,success,408,,AVAILABLE
Hyderabad,success,132,,AVAILABLE
Chennai,success,149,,AVAILABLE
Pune,success,306,,AVAILABLE
Ahmedabad,success,204,,AVAILABLE
Bhopal,success,48,,AVAILABLE
Indore,success,100,,AVAILABLE
Ranchi,success,0,,NO_AVAILABILITY
Bhubaneswar,success,102,,AVAILABLE
Shillong,success,0,,NO_AVAILABILITY
Kaziranga,success,0,,NO_AVAILABILITY
Jim Corbett,success,0,,NO_AVAILABILITY
Ranthambore,success,3,,AVAILABLE
Pahalgam,failed,0,403 Client Error: Forbidden for url: https://api.test.hotelbeds.com/hotel-api/1.0/hotels,API_FAILED
