destination_id,destination,search_query
1,Goa,Goa
2,Munnar,Munnar
3,Manali,Manali
4,Jaipur,Jaipur
5,Udaipur,Udaipur
6,Jaisalmer,Jaisalmer
7,Jodhpur,Jodhpur
8,Agra,Agra
9,Varanasi,Varanasi
10,Rishikesh,Rishikesh
11,Shimla,Shimla
12,Mussoorie,Mussoorie
13,Nainital,Nainital
14,Darjeeling,Darjeeling
15,Gangtok,Gangtok
16,Ooty,Ooty
17,Kodaikanal,Kodaikanal
18,Coorg,Coorg
19,Wayanad,Wayanad
20,Alappuzha,Alappuzha
21,Kochi,Kochi
22,Thiruvananthapuram,Thiruvananthapuram
23,Varkala,Varkala
24,Pondicherry,Pondicherry
25,Mahabalipuram,Mahabalipuram
26,Hampi,Hampi
27,Mysore,Mysore
28,Gokarna,Gokarna
29,Andaman,Andaman
30,Mumbai,Mumbai
31,Delhi,"Delhi, India"
32,Amritsar,Amritsar
33,Ladakh,Ladakh
34,Srinagar,Srinagar
35,Dharamshala,Dharamshala
36,Kolkata,Kolkata
37,Bengaluru,Bengaluru
38,Hyderabad,Hyderabad
39,Chennai,Chennai
40,Pune,Pune
41,Ahmedabad,Ahmedabad
42,Bhopal,Bhopal
43,Indore,Indore
44,Ranchi,Ranchi
45,Bhubaneswar,Bhubaneswar
46,Shillong,Shillong
47,Kaziranga,Kaziranga
48,Jim Corbett,Jim Corbett
49,Ranthambore,"Sawai Madhopur, Rajasthan, India"
50,Pahalgam,Pahalgam
