destination_id,destination,search_query,resolved_name,country,country_code,state,state_code,latitude,longitude,result_type,formatted_address,confidence,match_type,place_id
1,Goa,Goa,Goa,India,in,Goa,GA,15.3004543,74.0855134,state,"Goa, India",1.0,full_match,51aa17320d798552405999e26025d5992e40f00101f90125afab0000000000c0020a920303476f61
2,Munnar,Munnar,Munnar,India,in,Kerala,KL,10.0869959,77.0600915,city,"Munnar, KL, India",1.0,full_match,5120d1048ad843534059adc502ba8a2c2440f00103f901f43db6e600000000c002089203064d756e6e6172
3,Manali,Manali,Manali,India,in,Himachal Pradesh,HP,32.2454608,77.1872926,city,"Manali, HP, India",1.0,full_match,511af2199afc4b53405999396e426b1f4040f00103f901de32a60e00000000c002089203064d616e616c69
4,Jaipur,Jaipur,Jaipur,India,in,Rajasthan,RJ,26.9154576,75.8189817,city,"Jaipur, RJ, India",1.0,full_match,51706138326af4524059e9dfe46d5bea3a40f00103f9014ab9d11200000000c002089203064a6169707572
5,Udaipur,Udaipur,Udaipur,India,in,Rajasthan,RJ,24.578721,73.6862571,city,"Udaipur, RJ, India",1.0,full_match,517649e6a2eb6b5240592882380f27943840f00103f9010bd69e8f00000000c0020892030755646169707572
6,Jaisalmer,Jaisalmer,Jaisalmer,India,in,Rajasthan,RJ,26.9116615,70.9124888,city,"Jaisalmer, RJ, India",1.0,full_match,51d87d6c3766ba514059b685e7a562e93a40f00103f901c6dbb31500000000c002089203094a616973616c6d6572
7,Jodhpur,Jodhpur,Jodhpur,India,in,Rajasthan,RJ,26.2967719,73.0351433,city,"Jodhpur, RJ, India",1.0,full_match,511b0bafc93f425240592ddf443ef94b3a40f00102f9010017e40100000000c002089203074a6f6468707572
8,Agra,Agra,Agra,India,in,Uttar Pradesh,UP,27.1752554,78.0098161,city,"Agra, UP, India",1.0,full_match,515a1eb5d3a0805340598972b389dd2c3b40f00103f90167d2cf2100000000c0020892030441677261
9,Varanasi,Varanasi,Varanasi,India,in,Uttar Pradesh,UP,25.3356491,83.0076292,city,"Varanasi, UP, India",1.0,full_match,51a81f2fff7cc05440598d6e7319ed553940f00103f90176c4251100000000c00208920308566172616e617369
10,Rishikesh,Rishikesh,Rishikesh,India,in,Uttarakhand,UT,30.1086537,78.2916193,city,"Rishikesh, UT, India",1.0,full_match,517918ffe3a992534059e31698bad01b3e40f00103f901751cacde00000000c0020892030952697368696b657368
11,Shimla,Shimla,Shimla,India,in,Himachal Pradesh,HP,31.1040393,77.1707923,city,"Shimla, HP, India",1.0,full_match,5127bad342ee4a534059adffce51a21a3f40f00103f9011024dc1200000000c002089203065368696d6c61
12,Mussoorie,Mussoorie,Mussoorie,India,in,Uttarakhand,UT,30.4569012,78.0782906,city,"Mussoorie, UT, India",1.0,full_match,5164a593b60285534059cf801f7af7743e40f00103f901de27a60e00000000c002089203094d7573736f6f726965
13,Nainital,"Nainital, Uttarakhand, India",Nainital,India,in,Uttarakhand,UT,29.3905295,79.460869,city,"Nainital, UT, India",1.0,full_match,5160afb0e07edd5340598c9fc6bdf9633d40f00102f90150f9df1000000000c002089203084e61696e6974616c
14,Darjeeling,Darjeeling,Darjeeling,India,in,West Bengal,WB,27.0377554,88.263176,city,"Darjeeling, WB, India",1.0,full_match,51e54526e0d710564059563f8056aa093b40f00103f90110d950cb00000000c0020892030a4461726a65656c696e67
