query_category,search_radius_km,name,country,state,city,latitude,longitude,categories,formatted_address,place_id,limit_reached,destination_id,destination
tourism.sights,20.0,Shri. Santadurga Kunkalikaran Prasann,India,Goa,Cuncolim,15.1814337,74.0009569,"['tourism', 'tourism.sights', 'tourism.sights.archaeological_site']","Shri. Santadurga Kunkalikaran Prasann, NH66, Cuncolim - 403603, Goa, India",51288d87ad0f80524059d8c8bfe0e45c2e40f00103f901e4ec1bda01000000920325536872692e2053616e74616475726761204b756e6b616c696b6172616e2050726173616e6e,False,1,Goa
tourism.sights,20.0,Palacio Do Deao,India,Goa,Quepem,15.213865599999998,74.0735571,"['building', 'building.historic', 'tourism', 'tourism.sights', 'tourism.sights.manor']","Palacio Do Deao, MDR40, Quepem - 403705, Goa, India",51dfb8d628b584524059947abbca7f6d2e40f00102f90176d9fb560000000092030f50616c6163696f20446f204465616f,False,1,Goa
tourism.sights,20.0,Memorial For Goan Victims of 1918 Spanish Flu,India,Goa,Margao,15.3129806,73.9839618,"['tourism', 'tourism.sights', 'tourism.sights.memorial']","Memorial For Goan Victims of 1918 Spanish Flu, Margaon Ponda State Highway, Fatorda, Margao - 403600, Goa, India",51dae0e93af97e5240599e9042fe3ea02e40f00103f901970b33990200000092032d4d656d6f7269616c20466f7220476f616e2056696374696d73206f662031393138205370616e69736820466c75,False,1,Goa
tourism.sights,20.0,Rivona Caves,India,Goa,Rivona,15.164888592459608,74.11117105317788,"['tourism', 'tourism.sights', 'tourism.sights.archaeological_site']","Rivona Caves, MDR36, Rivona - 403705, Goa, India",514c6a316d1d87524059ea3110476c542e40f00102f901b5cf144b0000000092030c5269766f6e61204361766573,False,1,Goa
tourism.sights,20.0,Cave at Ishwarbhat,India,Goa,Usgao,15.44355135775926,74.04084378647009,"['tourism', 'tourism.sights', 'tourism.sights.archaeological_site']","Cave at Ishwarbhat, MDR25, Bhamalwada, Usgao - 403406, Goa, India",5191c8412f9d825240594758df2919e32e40f00102f90143a9115600000000920312436176652061742049736877617262686174,False,1,Goa
tourism.sights,20.0,Nilesh Nayak Memorial,India,Goa,Savoi-Verem,15.4604858,74.01289564999999,"['tourism', 'tourism.sights', 'tourism.sights.memorial']","Nilesh Nayak Memorial, MDR30, Khandola, Savoi-Verem - 403115, Goa, India",51aec04648d380524059788b76cbc4eb2e40f00102f90167b14b59000000009203154e696c657368204e6179616b204d656d6f7269616c,False,1,Goa
tourism.sights,20.0,Laterite Ruins,India,Goa,Varca,15.259261124667844,73.93843444042112,"['tourism', 'tourism.sights', 'tourism.sights.ruines']","Laterite Ruins, Varca Road, Varca - 403716, Goa, India",511fc3534f0f7c5240592825c7dfbd842e40f00102f9016667ed570000000092030e4c61746572697465205275696e73,False,1,Goa
tourism.sights,20.0,Chandor Excavated Site,India,Goa,Chandor,15.258143170917629,74.0549606410897,"['tourism', 'tourism.sights', 'tourism.sights.archaeological_site']","Chandor Excavated Site, SH8, Chandor - 403714, Goa, India",510a03a3798483524059cd8d79572b842e40f00102f901975bfb56000000009203164368616e646f72204578636176617465642053697465,False,1,Goa
tourism.sights,20.0,Laterite Ruins,India,Goa,Varca,15.259103849999999,73.93849635000001,"['tourism', 'tourism.sights', 'tourism.sights.ruines']","Laterite Ruins, Varca Road, Varca - 403716, Goa, India",5196aafe52107c5240590e098442a9842e40f00102f9016967ed570000000092030e4c61746572697465205275696e73,False,1,Goa
leisure.park,20.0,Heritage Park,India,Goa,Betora,15.379286750306697,74.03635279919861,"['leisure', 'leisure.park']","Heritage Park, Betora, Ponda, India",5145ebb09a53825240592cbf78df31c22e40f00102f9012a3b3e1c0000000092030d4865726974616765205061726b,False,1,Goa
leisure.park,20.0,Gunu Park,India,Goa,Arla,15.45041088574901,74.01314733042071,"['leisure', 'leisure.park']","Gunu Park, Arla, Ponda, India",51f28be667d780524059d91b70419ce62e40f00102f90120c842230000000092030947756e75205061726b,False,1,Goa
leisure.park,20.0,,India,Goa,Quepem,15.214225316483343,74.07091191155799,"['leisure', 'leisure.park']","Quepem, India",5175421dd28984524059dc8ad0f0ae6d2e40f00102f901d8cbbd5600000000,False,1,Goa
leisure.park,20.0,Khadpabandh Garden,India,Goa,Ponda,15.39867717172739,74.00007952535535,"['leisure', 'leisure.park']","Khadpabandh Garden, Farmagudi, Ponda, India",513ab38d4d01805240593b760c6a1fcc2e40f00102f901a6ade44c000000009203124b686164706162616e64682047617264656e,False,1,Goa
leisure.park,20.0,,India,Goa,Margao,15.255874697972528,73.96815465268963,"['leisure', 'leisure.park']","Navelim, Margao - 403600, Goa, India",516cb1ee3ef67d524059ef54270202832e40f00102f9013097f01b00000000,False,1,Goa
leisure.park,20.0,Municipal Park,India,Goa,Ponda,15.396678688715989,74.00256607387375,"['leisure', 'leisure.park']","Municipal Park, Farmagudi, Ponda, India",517bd7e40a2a80524059551c167819cb2e40f00102f901e8403e160000000092030e4d756e69636970616c205061726b,False,1,Goa
leisure.park,20.0,Nehru Park,India,Goa,Sanguem,15.228413922591063,74.15182315245634,"['leisure', 'leisure.park']","Nehru Park, Sanguem - 403704, Goa, India",51d7a47478b7895240599af56eabf2742e40f00102f901909b6b250000000092030a4e65687275205061726b,False,1,Goa
leisure.park,20.0,lions park,India,Goa,Curchorem,15.259584034836625,74.1071179615026,"['access', 'access.yes', 'leisure', 'leisure.park']","lions park, 7454+RV Vodlemol cacora, Curchorem - 403706, Goa, India",51f15d4b05db86524059c25fd832e8842e40f00102f901e281c8320000000092030a6c696f6e73207061726b,False,1,Goa
leisure.park,20.0,Anna Fonte Garden,India,Goa,Margao,15.277731404566726,73.95964089527214,"['leisure', 'leisure.park']","Anna Fonte Garden, Gogol, Margao - 403600, Goa, India",514646a5c16a7d5240595a5f87cf328e2e40f00102f901b8531a1a00000000920311416e6e6120466f6e74652047617264656e,False,1,Goa
leisure.park,20.0,Freedom Fighters Memorial Park.,India,Goa,Cuncolim,15.1820353,73.9976076,"['leisure', 'leisure.park']","Freedom Fighters Memorial Park., Cuncolim - 403707, Goa, India",516d0f8ccdd87f524059636f18bb335d2e40f00103f901deec1bda0100000092031f46726565646f6d204669676874657273204d656d6f7269616c205061726b2e,False,1,Goa
leisure.park,20.0,,India,Goa,Curchorem,15.255107454119653,74.11419641858697,"['access', 'access.yes', 'leisure', 'leisure.park']","Curchorem, Quepem, India",51b0c97efe4e87524059c8d1b8719d822e40f00102f9016531264600000000,False,1,Goa
