destination,nature_score,sightseeing_score,water_coastal_score,wildlife_score
Agra,0.16345837303993763,0.6264102564102564,0.14285714285714285,0.13435587964127063
Ahmedabad,0.05622455167634064,0.3955555555555555,0.047619047619047616,0.006872852233676976
Alappuzha,0.26102647244464794,0.33700854700854704,0.27947845804988664,0.19386472215237618
Amritsar,0.10223017041868294,0.27982905982905987,0.13945578231292519,0.0390579163523594
Andaman,0.004123711340206186,0.0,0.0,0.006872852233676976
Bengaluru,0.39311642182646256,0.82,0.2108843537414966,0.13058419243986255
Bhopal,0.25650466372115854,0.18735042735042737,0.07142857142857142,0.3564663481686363
Bhubaneswar,0.08851953152394978,0.4448717948717949,0.05442176870748299,0.03000586706897997
Chennai,0.2733976064652665,0.7104273504273504,0.5017006802721088,0.10066214064202499
Coorg,0.004123711340206186,0.017094017094017092,0.0,0.006872852233676976
Darjeeling,0.3040816326530612,0.23222222222222222,0.006802721088435374,0.5
Delhi,0.3349925537225199,0.7863247863247863,0.25510204081632654,0.2691727432738245
Dharamshala,0.26656683291873445,0.368034188034188,0.05442176870748299,0.14215069985751405
Gangtok,0.12251209762255418,0.10376068376068376,0.027210884353741496,0.17697594501718214
Goa,0.182436686014612,0.12692307692307694,0.047619047619047616,0.38798089011817954
Gokarna,0.22536065972780867,0.27666666666666667,0.39115646258503406,0.32285642444053303
Hampi,0.3224192769891462,0.477008547008547,0.08843537414965986,0.034364261168384876
Hyderabad,0.16545133517324453,0.7913675213675214,0.05782312925170068,0.07409269968988351
Indore,0.17328127127139517,0.5329059829059829,0.06462585034013606,0.10652920962199312
Jaipur,0.4071480138447131,0.6158119658119658,0.09183673469387754,0.3505154639175258
Jaisalmer,0.004081632653061224,0.25333333333333335,0.016606642657062826,0.0
Jim Corbett,0.23087338027994705,0.0,0.05782312925170068,0.21075349928757017
Jodhpur,0.0628271927327632,0.39957264957264965,0.0782312925170068,0.09630374654262007
Kaziranga,0.2462535529675788,0.025213675213675218,0.08163265306122448,0.45017182130584193
Kochi,0.3267768963255405,0.73,0.4553821528611444,0.2198055485709496
Kodaikanal,0.19731397713724666,0.15948717948717947,0.013605442176870748,0.3160254798424273
Kolkata,0.34912067919951484,0.6573504273504274,0.3333333333333333,0.17010309278350513
Ladakh,0.10952380952380954,0.02,0.0,0.16666666666666666
Mahabalipuram,0.2985804631130803,0.18376068376068377,0.15759637188208617,0.3367697594501718
Manali,0.6194589175876536,0.3052136752136752,0.030612244897959186,0.5704467353951891
Mumbai,0.4377095167964093,0.8293162393162392,0.14965986394557823,0.5318498030341128
Munnar,0.21177501928606493,0.15555555555555556,0.30272108843537415,0.034364261168384876
Mussoorie,0.13345956939476822,0.23666666666666666,0.003401360544217687,0.1872852233676976
Mysore,0.10994459639525914,0.5029059829059829,0.10844337735094038,0.07685860363758276
Nainital,0.21483975033312291,0.05367521367521368,0.013605442176870748,0.3127147766323024
Ooty,0.10467073427309068,0.17794871794871794,0.030612244897959186,0.09621993127147765
Pahalgam,0.11443298969072165,0.006666666666666667,0.0,0.19072164948453607
Pondicherry,0.2148612022128439,0.4511111111111111,0.17913832199546484,0.2752493504316486
Pune,0.2809961097841198,0.7182051282051282,0.34913965586234497,0.12781828849216326
Ranchi,0.18762185286485727,0.2887179487179487,0.20748299319727892,0.1056072416394267
Ranthambore,0.1355214250648713,0.07324786324786325,0.003401360544217687,0.19072164948453607
Rishikesh,0.3438868330837489,0.4130769230769231,0.0744297719087635,0.22198474562065207
Shillong,0.17789548809214406,0.1270940170940171,0.3877551020408163,0.14776632302405499
Shimla,0.3447717231222386,0.13042735042735043,0.0,0.4793814432989691
Srinagar,0.3802019776982958,0.5779487179487179,0.15306122448979592,0.17282708909563324
Thiruvananthapuram,0.2527534725230298,0.751965811965812,0.3412698412698412,0.049367194702874866
Udaipur,0.25213590590875523,0.48290598290598297,0.08163265306122448,0.29163523593998825
Varanasi,0.3289649880570785,0.4828205128205128,0.26830732292917164,0.21947028748638
Varkala,0.21766974831169578,0.47914529914529913,0.5096371882086168,0.09186153717207275
Wayanad,0.3020618556701031,0.07794871794871795,0.3333333333333333,0.17010309278350513
