destination,sight_count,park_count,restaurant_count,water_count,forest_count,wetland_count,river_count,mountain_count,coastal_count,sand_count,protected_area_count,hotel_count,room_count,min_hotel_price,avg_hotel_price,max_hotel_price,avg_allotment,flight_count,min_flight_price,avg_flight_price,max_flight_price,avg_total_duration,avg_outbound_stops,avg_return_stops,weather_available,accommodation_available,flight_available,country,latitude,longitude,temperature,feels_like,humidity,pressure,wind_speed,cloudiness,weather_condition,weather_description,visibility,rain_1h,timestamp
Agra,13,60,98,42,32,3,1,0,0,0,0,4.0,11.0,5.33,35.86227272727273,60.95,16.0,,,,,,,,1,1,0,IN,27.1833,78.0167,28.03,34.57,94,1000,2.06,100,Clouds,overcast clouds,10000.0,0.0,2026-08-27T12:06:31+00:00
Ahmedabad,12,52,40,14,2,0,2,0,0,0,0,7.0,35.0,26.53,107.8525,274.77,16.558823529411764,,,,,,,,1,1,0,IN,23.0333,72.6167,30.02,32.48,58,1004,3.09,100,Clouds,overcast clouds,10000.0,0.0,2026-08-27T12:10:33+00:00
Alappuzha,17,11,70,74,2,23,9,0,1,0,0,2.0,4.0,73.55,187.7355555555556,335.48,12.22222222222222,,,,,,,,1,1,0,IN,9.49,76.3264,27.0,29.93,82,1012,4.6,100,Rain,light rain,10000.0,0.2,2026-08-27T12:11:40+00:00
Amritsar,10,14,56,41,9,1,0,0,0,0,0,6.0,13.0,21.21,6278.796212121213,94287.82,5.303030303030303,,,,,,,,1,1,0,IN,31.6331,74.8656,34.97,41.97,59,998,1.54,16,Clouds,few clouds,10000.0,0.0,2026-08-27T12:11:38+00:00
Andaman,0,0,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,0,IN,12.7574,92.8412,26.84,30.0,87,1009,7.98,100,Rain,light rain,10000.0,0.47,2026-08-27T12:22:29+00:00
Bengaluru,97,39,99,62,38,0,16,0,0,0,0,18.0,68.0,15.89,106.21343137254902,783.04,19.79901960784314,13.0,8776.0,8776.0,8776.0,160.3846153846154,0.0,0.0,1,1,1,IN,12.9762,77.6033,27.58,29.55,67,1010,5.14,100,Clouds,overcast clouds,10000.0,0.0,2026-08-27T12:03:34+00:00
Bhopal,7,22,21,21,2,2,0,1,0,0,2,2.0,9.0,27.32,39.24625,54.16,7.541666666666667,,,,,,,,1,1,0,IN,23.2667,77.4,23.13,23.95,94,1006,3.09,100,Rain,moderate rain,7118.0,1.41,2026-08-27T12:11:08+00:00
Bhubaneswar,6,69,39,16,4,2,0,5,0,0,0,3.0,20.0,24.76,77.97,248.48,10.470588235294118,,,,,,,,1,1,0,IN,20.2333,85.8333,29.12,34.85,79,1000,2.06,97,Rain,moderate rain,10000.0,1.83,2026-08-27T12:05:18+00:00
Chennai,62,43,96,74,8,9,9,0,9,0,0,9.0,39.0,24.24,65.69234899328859,182.14,34.422818791946305,,,,,,,,1,1,0,IN,13.0878,80.2785,31.8,38.8,73,1005,2.57,100,Clouds,overcast clouds,10000.0,0.0,2026-08-27T11:57:01+00:00
Coorg,0,4,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,0,IN,12.317,75.7025,22.76,23.47,91,1013,2.08,98,Rain,light rain,10000.0,0.12,2026-08-27T12:20:36+00:00
